Usr_id,User_screen_name,Description,#_Followers,#_Following,statuses_count,#_favourites_count,created_on,profile_image_url,default_profile,default_profile_image,verified,status.text
9.90E+17,jasss309,Living the best life!,6,33,23,107,43216.65429,http://pbs.twimg.com/profile_images/1028584854282108929/byf8UXDY_normal.jpg,TRUE,FALSE,FALSE,"1) Followed already
2)Retweeted With The Hashtag ✅
3)@NayanKarpe8
@manav_gada 
@ganeshgupta9627 
@Aman16_… https://t.co/Pb5jvIpaRU"
1.04E+18,ApprovedThanks,Artist Name: Kay.Est(East) IG:ApprovedThanks SC:KingKvonne,252,5001,33,8018,43350.93934,http://pbs.twimg.com/profile_images/1038195259673665536/3uGTjX5w_normal.jpg,TRUE,FALSE,FALSE,"Legendary Music &amp;Visuals 

#itsthegetoff #HipHop #atg #NewMusicMonday #trapmusic #stripclub #legendary #damnlee… https://t.co/Tt7mxEL357"
3199358430,aashayshah99,Liverpool,11,126,13,10,42141.35568,http://pbs.twimg.com/profile_images/1046014075342225408/AW2OBxMr_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsceskream: With a last-ball win, the match could have swayed either sides but @BCCI pushed through and won their seventh Asia Cup Tit…"
1.04E+18,TheStatusWorld1,,10,80,3,1,43360.76712,http://pbs.twimg.com/profile_images/1041755237785239553/QpRP1Q9Y_normal.jpg,TRUE,FALSE,FALSE,"We upload new stauts.... 
Plz watch it
https://t.co/5ZsZMKupgy"
8.73E+17,fwchapman_music,🎼 tenor 🎸guitarist/luthier 💻 aspiring blogger #edtech #musicianship #pedagogy 🎵 #BLUES #CigarBoxGuitar #LapSteelGuitar #SlideGuitar #LiveLooping,1504,3821,3756,16197,42895.01201,http://pbs.twimg.com/profile_images/874767009514475521/XqzFVYJU_normal.jpg,TRUE,FALSE,FALSE,"RT @Saun_Fischer: PLEASE HAVE COMPASSION &amp; DONATE to my #CrowdfundingCampaign! I have been trying to get a job, &amp; have had absolutely no in…"
9.00E+17,Nidz_2142,,2,12,0,0,42970.51179,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,none
1.04E+18,ShaurayL,,4,207,4,1,43357.7511,http://pbs.twimg.com/profile_images/1040663132153282560/UjncqdBN_normal.jpg,TRUE,FALSE,FALSE,"RT @attorneybharti: यह तो बहुत ही शर्मनाक है और दंडनीय भी है। मोदी जी, आप अपनी पुलिस को आदेश दें की जो कोई भी संविधान के निर्माता के साथ ऐ…"
1.04E+18,bilkhu_singh,,1,8,0,5,43357.68205,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,none
8.56E+17,Heet5002,,12,264,8,31,42847.30507,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,RT @MrCryptoWolf: #GIVEAWAY! I’m giving away 1 #Ethereum to one lucky follower who retweets this post and follows my account. Reply with ad…
8.00E+17,d_tanshik,,2,108,15,20,42693.71902,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,@MKBHD What are your expections from LG G40 ThinQ? What do u think? At what price it will launch?#AskMKBHD
1.02E+18,ManuGow32651810,,1,16,9,5,43314.42337,http://pbs.twimg.com/profile_images/1032884130873204739/HpbiBaP7_normal.jpg,TRUE,FALSE,FALSE,Today is my happy https://t.co/AGQktcELWk
7.86E+17,jenilgosar,,9,253,153,978,42655.48898,http://pbs.twimg.com/profile_images/932979096920973312/G-ZodwfO_normal.jpg,TRUE,FALSE,FALSE,"RT @MKBHD: - $20M personal fine
- $20M fine to Tesla
- Elon resigns from chairman position for 3 years
- Elon stays CEO

Imagine 1 tweet co…"
1.04E+18,ABDURRA56165996,Full Stack Web developer,3,9,61,62,43351.28269,http://pbs.twimg.com/profile_images/1038340201955786752/YSyEJNKF_normal.jpg,TRUE,FALSE,FALSE,"RT @NBFootball: ⚡ Limited Edition. Unlimited goals.

#Furon #HorizonPack #NBFootball https://t.co/zJbfkjZF22"
2913177528,8164465436Joyce,,105,528,129,0,41972.08356,http://pbs.twimg.com/profile_images/538513407146606594/lt05q8J__normal.jpeg,TRUE,FALSE,FALSE,https://t.co/Uoh7ixIzPe
9.86E+17,ishraqueshk,,9,226,0,65,43207.46845,http://pbs.twimg.com/profile_images/986204030354374656/q5ggjXeg_normal.jpg,TRUE,FALSE,FALSE,none
9.98E+17,IshanShinde01,"Driving is a spectacular form of amnesia. Everything is to be discovered, everything to be obliterated",3,49,10,125,43240.59242,http://pbs.twimg.com/profile_images/998208647866925057/FRGSYKy-_normal.jpg,TRUE,FALSE,FALSE,Great Technology ✔️ https://t.co/Y3YvukwhG0
8.50E+17,Kunthal_,Vice Chairperson of MakerMela 2019.,21,192,26,54,42832.2028,http://pbs.twimg.com/profile_images/1031364986357133312/grXOjx5P_normal.jpg,TRUE,FALSE,FALSE,"RT @makermelaIndia: A man who rose above race, religion, caste and family in order to support the oppressed - let's celebrate the 150th bir…"
1.03E+18,DhruvKamdar5,Student,2,27,1,11,43328.53537,http://pbs.twimg.com/profile_images/1032204476743081985/vWR8lxpY_normal.jpg,TRUE,FALSE,FALSE,@TechnicalGuruji Phone Ki battery tho sube songs Mai hi aadhi khatam aur adhi games and net pe... Vooc charger se 6… https://t.co/1KncOfTHkO
1.01E+18,Bhavyasheth21,20/Engineering student/Hustler,12,93,9,11,43270.57128,http://pbs.twimg.com/profile_images/1028654823778922496/V7rz64-k_normal.jpg,TRUE,FALSE,FALSE,RT @ArchDigest: The world's most luxurious castles you can sleep in: https://t.co/qZ0FULIC5L https://t.co/fAHBmTWxX8
1.02E+18,IsaacBrendanjr,Music enthusiast. Unapologetic twitter nerd. Evil student. Analyst. Zombieaholic. Travel geek.,48,568,1667,0,43290.50368,http://pbs.twimg.com/profile_images/1019972257517465601/oiOS440P_normal.jpg,TRUE,FALSE,FALSE,"@Imhardikgupta,@hemendra_sakpal,@_5um17  After over 4 days of downtime with milesweb, we moved over 2 @host4geeks A… https://t.co/gT9YGAD8uJ"
8.55E+17,PadhoAurBadho,,25,159,32,7,42844.68877,http://pbs.twimg.com/profile_images/854736313412497408/vGRnBbDm_normal.jpg,TRUE,FALSE,FALSE,RT @rkbaishyantri2: https://t.co/WXIHwbunhR
603820542,BLOOMBOX_KJSCE,The Entrepreneurship Cell of K.J.Somaiya College of Engineering.,1667,84,1283,586,41069.69051,http://pbs.twimg.com/profile_images/762725482831962112/m2efnSqR_normal.jpg,FALSE,FALSE,FALSE,"""It's not about ideas. It's about making ideas happen."" 
A pre-event of @makermelaIndia, Hack-IoT is being organize… https://t.co/DqIiwtV84H"
1.02E+18,Monika04649910,,2,18,7,3,43301.63384,http://pbs.twimg.com/profile_images/1046111219659223042/oexItIF1_normal.jpg,TRUE,FALSE,FALSE,@TheSkorys @CVXLive Oh wow😱
8.93E+17,ArvindSridhar99,,20,136,27,135,42949.21078,http://pbs.twimg.com/profile_images/892617704951001088/Q9yqmd-a_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsceskream: As the action returns to the @premierleague after the International break, its @LFC who visit @SpursOfficial which promise…"
2199450786,vasaharsh15,,8,63,56,114,41595.52547,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
1.02E+18,AashiRanawat,,8,3,42,43,43288.30707,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
4652488872,BeerXOXO19,"Funnily, this is the only place on Twitter with more than 140 chars. Anyway, beer here.",26,103,108,201,42364.08602,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,"RT @kjsceskream: With England dominating over India in a beautifully played series of matches, India lost the test tour with an outcome of…"
4864487422,_alphame,,12,36,102,91,42399.72289,http://pbs.twimg.com/profile_images/1016696444613378049/zVLZ-eSg_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
1.02E+18,MahajanAnvil,,7,4,41,41,43287.63256,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,"RT @kjsabhiyantriki: With 37+ companies visiting our campus during #Abhiyantriki2018, the Internship Expo promises to offer countless Inter…"
9.31E+17,Kshitij76945164,"I play tennis.
No guts, no glory
No legend, no story.
Manchester City 💙",18,38,73,171,43055.61917,http://pbs.twimg.com/profile_images/1044452748283006977/-27xqmnn_normal.jpg,TRUE,FALSE,FALSE,"RT @MKBHD: Damn, September came and went fast. October is about to be incredible though."
1.02E+18,Priyam14435947,,7,6,32,31,43292.68466,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,RT @kjsceskream: La Liga champions @FCBarcelona slumped to a shock 2-1 defeat at struggling @CDLeganes_en and @realmadrid were resoundingly…
7.51E+17,advaith_mahesh,Tennis,22,38,68,121,42557.45177,http://pbs.twimg.com/profile_images/751040301855285248/8iXIM1Sj_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
8.82E+17,DumbreSiddharth,,22,145,4,391,42920.78932,http://pbs.twimg.com/profile_images/936625063125643266/ZYg44Vf8_normal.jpg,TRUE,FALSE,FALSE,@AmritaSaha07 Ooh😂😂👍
3220610424,e8227a3c1a3e4c8,,1,3,56,57,42143.8198,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,TRUE,TRUE,FALSE,"RT @kjsabhiyantriki: We present to you, an overnight event for the first time in #Abhiyantriki2018 history where you code under the rays of…"
2847376412,Nisarg_42,( ͡° ͜ʖ ͡°),15,67,55,329,41920.56038,http://pbs.twimg.com/profile_images/867441283337515008/Mx6CoCpc_normal.jpg,FALSE,FALSE,FALSE,"RT @KjsceSymphony: On the day of his birth anniversary we would like to pay homage to the man behind the Independence movement, Gandhiji. H…"
8.40E+17,Athm1ka,18,25,37,7,19,42803.26012,http://pbs.twimg.com/profile_images/867812897367502849/HCDwAsjZ_normal.jpg,FALSE,FALSE,FALSE,"RT @kjsceskream: After a span of 42 years, Muhammed Anas overcomes all odds and bags the gold medal in men's 400 m run in Asian Athletics C…"
1.01E+18,JilKothari,,17,25,39,43,43278.7465,http://pbs.twimg.com/profile_images/1016561471428259840/2BcPxEEJ_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
1.02E+18,Shakshigandhi,,18,41,53,54,43287.4977,http://pbs.twimg.com/profile_images/1016725426046152704/8-ITg2Mb_normal.jpg,TRUE,FALSE,FALSE,"RT @kjsabhiyantriki: Based off of the popular coding haven, @kjsce_codecell presents to you it’s competitions and events for Abhiyantriki ‘…"
